Ano-Trimestre;DESPSERV;DESPDUR;DESPNAODUR;DESPTCP
2003-I ;4143,30;971,40;2072,50;7184,90
2003-II ;4161,30;1009,80;2084,20;7249,30
2003-III ;4190,70;1049,60;2123,00;7352,90
2003-IV;4220,20;1051,40;2132,50;7394,30
2004-I ;4268,20;1067,00;2155,30;7479,80
2004-II ;4308,40;1071,40;2164,30;7534,40
2004-III ;4341,50;1093,90;2184,00;7607,10
2004-IV;4377,40;1110,30;2213,10;7687,10
2005-I ;4395,30;1116,80;2241,50;7739,40
2005-II ;4420,00;1150,80;2268,40;7819,80
2005-III ;4454,50;1175,90;2287,60;7895,30
2005-IV  ;4476,70;1137,90;2309,60;7910,20
2006-I ;4494,50;1190,50;2342,80;8003,80
2006-II ;4535,40;1190,30;2351,10;8055,00
2006-III ;4566,60;1208,80;2360,10;8111,20
