Ano;DCP;PIB
1960;1597,4;2501,8
1961;1630,3;2560
1962;1711,1;2715,2
1963;1781,6;2834
1964;1888,4;2998,6
1965;2007,7;3191,1
1966;2121,8;3399,1
1967;2185;3484,6
1968;2310,5;3652,7
1969;2396,4;3765,4
1970;2451,9;3771,9
1971;2545,5;3898,6
1972;2701,3;4105
1973;2833,8;4341,5
1974;2812,3;4319,6
1975;2876,9;4311,2
1976;3035,5;4540,9
1977;3164,1;4750,5
1978;3303,1;5015
1979;3383,4;5173,4
1980;3374,1;5161,7
1981;3422,2;5291,7
1982;3470,3;5189,3
1983;3668,6;5423,8
1984;3863,3;5813,6
1985;4064;6053,7
1986;4228,9;6263,6
1987;4369,8;6475,1
1988;4546,9;6742,7
1989;4675;6981,4
1990;4770,3;7112,5
1991;4778,4;7100,5
1992;4934,8;7336,6
1993;5099,8;7532,7
1994;5290,7;7835,5
1995;5433,5;8031,7
1996;5619,4;8328,9
1997;5831,8;8703,5
1998;6125,8;9066,9
1999;6438,6;9470,3
2000;6739,4;9817
2001;6910,4;9890,7
2002;7099,3;10048,8
2003;7295,3;10301
2004;7577,1;10703,5
2005;7841,2;11048,6
